Bezeichnung / Feldgeräte,Beschreibung
CCA-AC-16EXTD,Lizenz für 16 zusätzlichen Türen
CCA-AC-16EXTD-PSM,Lizenz für 16 zusätzlichen Türen PSM
CCA-AC-16EXTD-SSM,Lizenz für 16 zusätzlichen Türen SSM
CCA-CMPT-BA,Compact Feature set BA
CCA-CMPT-BA-U,Comp. Feature set BA upsell
CCA-CMPT-DMS,Compact Feature set DMS
CCA-CMPT-DMS-PSM,Comp. Feature set DMS PSM
CCA-CMPT-DMS-SSM,Comp. Feature set DMS SSM
CCA-CMPT-DMS-U,Comp. Feature set DMS upsell
CCA-CMPT-VM,CCA-CMPT-VM
CCA-DEMO,Demo Lizenz  Desigo CC
CCA-ENG,Engineering Lizenz
CCA-FIRE-GRA-U,CCA-FIRE-GRA-U CC upse
CCA-GW-FSET,Desigo Connect Gateway Feature Set
CCA-GW-FSET-PSM,Desigo Connect Gateway Feature Set
CCA-GW-FSET-SSM,Desigo Connect Gateway Feature Set
CCA-IEC61850,Lizenz für IEC 61850 Treiber
CCA-MAX-CL,Lizenz für unbegr. Anzahl von Clients
CCA-MAX-CL-PSM,Lizenz für unbegr. Anzahl von Clients PSM
CCA-MAX-CL-SSM,Lizenz für unbegr. Anzahl von Clients SSM
CCA-M-GN,Lizenz für Group Notification
CCA-OP-AS-TR,Option geführte Eventbearbeitung
CCA-OP-GRAPH-ED,Option Grafikeditor
CCA-OP-LOG-V,Option Log viewer
CCA-OP-OPC,Option OPC-Server
CCA-OP-RENO,Option Alarm-Fernbenachrichtigung
CCA-OP-RENO-PSM,Option Alarm-Fernbenachrichtigung PSM
CCA-OP-RENO-SSM,Option Alarm-Fernbenachrichtigung SSM
CCA-OP-RE-PR,Option Reaktionsprozessor
CCA-OP-WS-ADD,Option WS zusätzliche Web Session
CCA-OP-WS-CMD,Option WS commanding
CCA-OP-WS-HIST,Option WS Hist. Daten
CCA-OP-WS-LIVE,Option WS Live data
CCA-S7-CONN,Lizenz S7 Verbindung
CCA-S7-PLUS,Desigo CC Lizenz S7 Plus
CCA-STARTUP-BASE,Lizenz Startup
CCA-STD-FSET,CCA-STD-FSET CC std fe
CCA-STD-FSET-PSM,CCA-STD-FSET-PSM CC st
CCA-STD-FSET-SSM,CCA-STD-FSET-SSM CC st
CCA-V-128EXTC,Lizenz für 128 zusätzliche Kameras ext.
CCA-V-128EXTC-PSM,Lizenz für 128 zusätzliche Monitore ext. PSM
CCA-V-128EXTC-SSM,Lizenz für 128 zusätzliche Kameras SSM
CCA-V-128MON,Lizenz für 128 zusätzliche Monitore
CCA-V-128MON-PSM,Lizenz für 128 zusätzliche Monitore PSM
CCA-V-128MON-SSM,Lizenz für 128 zusätzliche Monitore SSM
CCA-V-16EMBC,Lizenz für 16 zusätzliche Kameras emb.
CCA-V-16EXTC,Lizenz für 16 zusätzliche Kameras ext.
CCA-V-16EXTC-PSM,Lizenz für 16 zusätzliche Monitore ext. PSM
CCA-V-16EXTC-SSM,Lizenz für 16 zusätzliche Kameras SSM
CCA-V-16MON,Lizenz für 16 zusätzliche Monitore
CCA-V-16MON-PSM,Lizenz für 16 zusätzliche Monitore PSM
CCA-V-16MON-SSM,Lizenz für 16 zusätzliche Monitore SSM
CCA-V-PLUS,CCA-V-PLUS
CIM.0165,Infocenter V1.6.5
CLIMA SENSOR D WTF,"Kombi-Wetterstation, , ,"
CLIMA SENSOR US,Kombi-Wetterstation
CMD.02,Lizenz-Dongle USB
CMD.04,LMS Micro Dongle
CMD.04,LMS Micro Dongle
CMM.04,Desigo Insight SW Units V4
CMM.05,DESIGO INSIGHT Lizenz V5
CMM.06,Lizenz DI V6
CMS-10R-D,ZZT:CMS-10R-D/AC110-240V-Z
CMS-10R-D,ZZT:CMS-10R-D/AC110-240V-Z
CMS-10R-D,ZZT:CMS-10R-D/AC110-240V-Z
CMS-ANT-MAG/2.5,Magnetfussantenne 2.5m Kabel
COMPACT-OFFICE,"Präsenzmelder mit Mischsensor, 203.6003."
COMSERVER++,W&T ComServer 1 Port (58631)
CP1623,CP1623 Kommunikationsprozessor
CTX-LEN.5M,XWP-ABT Eng. Lic. SSP 1 Year
CU230P-2-BT,"G120P control unit, USS, Modbus, BacNet"
CU230P-2DP,"G120P control unit, Profibus"
CU230P-2PN,"G120P control unit, ProfiNet"
CU-DICHTUNG,Dichtung zu Verschluss-Schraube
DESIGO-TP700,DESIGO-TP700 Desigo S7 Touc
DI-MODEM-ISDN,ISDN Modem Desigo
DK35A DIN,DIN-Rail Mounting Kit (35 mm)
DNA-KA-BS,DCC KABA Access INTE
DNA-NO-BS,DNA-NO-BS
DNA-NO-EX,DNA-NO-EX
DNA-SE-BS,DCC SeeTec Basis
DNA-SE-EX,DCC SeeTec Ext
DNA-SI-BS,DCC SiNVR Basis
DNA-SI-EX,DCC SiNVR Ext
DURHWN/SSL,Set Haltewinkel
DXA.B130,Schieberfühler 50”
DXA.B200,Schieberfühler 80”
DXA.H110,"Klemmenabdeckung für DXR…230VAC, 2 Stk"
DXA.H180,"Klemmenabdeckung für DXR…24VAC, 2 Stk"
DXA.S04P1,Luftvolumenstrom-Druckfühler (SCOM)
DXA.S04P1-B,Luftvolumenstrom-Druckfühler IP54(SCOM)
DXR2.E09-101A,"Kompaktkontroller BACnet, 230 VAC"
DXR2.E09T-101A,"Kompaktkontroller BACnet, 230 VAC"
DXR2.E10-101A,"Kompaktkontroller BACnet, 230 VAC"
DXR2.E12P-102A,"Kompaktkontroller BACnet, 24 VAC"
DXR2.E12PX-102A,"Kompaktkontroller BACnet, 24 VDC"
DXR2.E17C-103A,"Raumdruck & Abzug Automationsst.,30 DP"
DXR2.E17CX-103A,"Raumdruck & Abzug Automationsst.,60 DP"
DXR2.E18-101A,"Kompaktkontroller BACnet, 24VAC"
DXR2.E18-102A,"Kompaktkontroller BACnet, 24 VAC"
DXR2-230/BOX-W,Standardverteiler DXR2-230VAC
DXR2-24/BOX-W,Standardverteiler DXR2-24VAC
EBV73200,LON Karte PCMCIA PCC-10 73200 (Echelon)
ECOAP-360,AP-Montage-Rahmen für ECO-IR360
ECOFTT10,LON Busank. f. IR360/180
ECO-IR180A,Präsenzmelder Tageslicht
ECO-IR360A,Präsenzmelder für Deckenmontage
EDS-205,Switch 5 X 10/100TX DIN-Schiene 24V
EDS-208,MOXA
EDS-208A-MM-SC,"DIN Switch 6xTX, 2x100 FX MM SC,24VDC/AC"
EDS-208-M-SC,"Switch 7 X 10/100TX, 1 X 100 FX SC MM, D"
EDS-316,"DIN Switch 16xTX, 12/24/48 VDC"
EDS-P206A,"EDS-P206A-4POE, 4X P"
EDS-P206A-4POE,DIN PoE Switch 6x10/100TX
EDSP206A4POEMSC,"DIN PoE Switch 5xTX,1xFX MM SC,24 /48VDC"
EHSPSM2/18.24,DIN-Gehäuse-Stromversorgung 24VDC/0.75A
EHSTBD2/018.24/P3,Transformator 230/24VAC / 18VA
EHSTBD2/035.24/F5,Gehäuse-Transformator 24VAC/35VA
EHSTBD2/035-COVER,Klemmeabdeckung zu Transformator EHSTBD2
EHSTBD2/050.24/F6,Gehäuse-Transformator 24VAC/50VA
EHSTBD2/050-COVER,Klemmeabdeckung zu Transformator EHSTBD2
EHSTBD2/075.24/F8,Gehäuse-Transformator 24VAC/75VA
EHSTBD2/075-COVER,Klemmeabdeckung zu Transformator EHSTBD2
EHSTBD2/100.24/F8,GEHÄUSE-TRANSFORM
EHSTBD2AS.40.24E,Gehäuse-Stromversorgung 24VDC/0.40A
EKW2.2.1,Keilriemenwächter Opperman
EKW2.7.1,Keilriemenwächter Opperman
ELAST-PUFFER/52112,ENTKOPPLUNGSPUFFER M5X10 SIN
ELAST-PUFFER/52129,ENTKOPPLUNGSPUFFER M5X12 SIN
ELAST-PUFFER/52131,ENTKOPPLUNGSPUFFER M8X25 SIN
ELAST-PUFFER/52158,ENTKOPPLUNGSPUFFER M10X25 SI
EMCPROFNET,PC-Funkuhr Prof inkl. Ant.
EMCPROFNET19,"PC-Funkuhr Prof 19"", inkl. Antenne"
EPG-10,"Aufputzgehäuse für luna10, sw"
EPG-16,Aufputzgehäuse für luna16
EPG-22,Aufputzgehäuse für luna22
ERF910,Funk-Repeater
FEL4250FMI61,"UP-Raumthermostat 2.2KW, weiss"
FGT-PT1000,Abgastemperaturfühler
FKL0012,"Kabel Ausgang 4-polig, 3m, M-Bus"
FKL0013,"Kabel Eingang 4-polig, 1m, Impuls"
FKM0038,"Tauchhülse G1/4'', für Fühler 5,0x45 mm"
FK-PZ1,Set mit zwei Anschlussstutzen
FK-PZ1,Set mit zwei Anschlussstutzen
FK-PZ2,"Set mit zwei Anschlussstutzen, Aluminium"
FK-PZ2,"Set mit zwei Anschlussstutzen, Aluminium"
FK-PZ3,Set mit zwei Anschlussstutzen Kunststoff
FK-PZ3,Set mit zwei Anschlussstutzen Kunststoff
FK-TZ1,"Kapillarhalterung, Metall, verzinkt"
FS108PEU,10/100Mbps Unm.Switch mit PoE(kein Rack-
FT5K-BCU-XP,LON Busankoppler UP 2-fach
FT-BCU-2,LON Busankoppler UP Feller 2-fach
FT-PZ1,Übergangsverschraubung auf G1/2''.
FT-TP/100,"Tauchtemperaturfühler 100 mm, Pt100"
FT-TP/400,Tauchtemperaturfühler 400 mm; Pt100
FUE380.125-100,"Durchfluss US,DN125,100m3/h,350 mm,AC230V"
FUE380.150-150,"Durchfluss US,DN150,150m3/h,500 mm,AC230V"
FUE380.200-250,"Durchfluss US,DN200,250m3/h,500 mm,AC230V"
FUE380.250-400,"Durchfluss US,DN250,400m3/h,600 mm,AC230V"
FUE380.300-560,"Durchfluss US,DN300,560m3/h,500 mm,AC230V"
FUE380.350-750,7ME3410-2VC02-5ES4 /SITRANS FUE380
FUE380.400-950,"Durchfluss US,DN400,950m3/h,600 mm,AC230V"
FUE380.500-1475,"DurchflussUS,DN500,1475m3/h,625 mm,AC230V"
G120P-1.1/32B,Frequenzumrichter 3.0A / 1.1kW / IP20
G120P-1.1/35A,Frequenzumri 3.0A/ 1.1kW/ IP55/ Filter A
G120P-1.1/35B,Frequenzumrichter 3.0A / 1.1kW / IP55
G120P-1.5/32B,Frequenzumrichter 4A / 1.5kW / IP20
G120P-1.5/35A,Frequenzumri. 4A/ 1.5kW/ IP55/ Filter A
G120P-1.5/35B,Frequenzumrichter 4A / 1.5kW / IP55
G120P-11/32B,Frequenzumrichter 26A / 11kW / IP20
G120P-11/35A,Frequenzumri. 26A/ 11kW/ IP55/ Filter A
G120P-11/35B,Frequenzumrichter 26A / 11kW / IP55
G120P-15/32B,Frequenzumrichter 32A / 15kW / IP20
G120P-15/35A,Frequenzumri. 32A/ 15kW/ IP55/ Filter A
G120P-15/35B,Frequenzumrichter 32A / 15kW / IP55
G120P-18.5/32B,Frequenzumrichter 38A / 18.5kW / IP20
G120P-18.5/35A,Frequenzumri 38A/ 18.5kW/ IP55/ Filter A
G120P-18.5/35B,Frequenzumrichter 38A / 18.5kW / IP55
G120P-2.2/32B,Frequenzumrichter 5.9A / 2.2kW / IP20
G120P-2.2/35A,Frequenzumri 5.9A/ 2.2kW/ IP55/ Filter A
G120P-2.2/35B,Frequenzumrichter 5.9A / 2.2kW / IP55
G120P-22/32B,Frequenzumrichter 45A / 22kW / IP20
G120P-22/35A,Frequenzumri. 45A/ 22kW/ IP55/ Filter A
G120P-22/35B,Frequenzumrichter 45A / 22kW / IP55
G120P-3/32B,Frequenzumrichter 7.7A / 3.0kW / IP20
G120P-3/35A,Frequenzumri 7.7A/ 3.0kW/ IP55/ Filter A
G120P-3/35B,Frequenzumrichter 7.7A / 3.0kW / IP55
G120P-30/32B,Frequenzumrichter 62A / 30kW / IP20
G120P-30/35A,Frequenzumri. 62A/ 30kW/ IP55/ Filter A
G120P-30/35B,Frequenzumrichter 62A / 30kW / IP55
G120P-37/32B,Frequenzumrichter 75A / 37kW / IP20
G120P-37/35A,Frequenzumri. 75A/ 37kW/ IP55/ Filter A
G120P-37/35B,Frequenzumrichter 75A / 37kW / IP55
G120P-4/32B,Frequenzumrichter 10.2A / 4kW / IP20
G120P-4/35A,Frequenzumri. 10.2A/ 4kW/ IP55/ Filter A
G120P-4/35B,Frequenzumrichter 10.2A / 4kW / IP55
G120P-45/32B,Frequenzumrichter 90A / 45kW / IP20
G120P-45/35A,Frequenzumri. 90A/ 45kW/ IP55/ Filter A
G120P-45/35B,Frequenzumrichter 90A / 45kW / IP55
G120P-5.5/32B,Frequenzumrichter 13A / 5.5kW / IP20
G120P-5.5/35A,Frequenzumri. 13A/ 5.5kW/ IP55/ Filter A
G120P-5.5/35B,Frequenzumrichter 13A / 5.5kW / IP55
G120P-55/32B,Frequenzumrichter 110A / 55kW / IP20
G120P-55/35A,Frequenzumri. 110A/ 55kW/ IP55/ Filter A
G120P-55/35B,Frequenzumrichter 110A / 55kW / IP55
G120P-7.5/32B,Frequenzumrichter 18A / 7.5kW / IP20
G120P-7.5/35A,Frequenzumri. 18A/ 7.5kW/ IP55/ Filter A
G120P-7.5/35B,Frequenzumrichter 18A / 7.5kW / IP55
G120P-75/32B,Frequenzumrichter 145A / 75kW / IP20
G120P-75/35A,Frequenzumri. 145A/ 75kW/ IP55/ Filter A
G120P-75/35B,Frequenzumrichter 145A / 75kW / IP55
G120P-90/35A,Frequenzumri. 178A/ 90kW/ IP55/ Filter A
G120P-90/35B,Frequenzumrichter 178A / 90kW / IP55
G120P-AIRSHEET-FSA,G120P-Luftleitblech-FSA
G120P-AIRSHEET-FSB,G120P-Luftleitblech-FSB
G120P-AIRSHEET-FSC,G120P-Luftleitblech-FSC
G120P-BCOVER,"G120P Blindabdeckung für PM230, IP55"
G120P-BOP-2,G120P Basisbedienfeld BOP-2
G120P-DOOR-KIT,G120P Türmontagesatz für IOP/BOP-2
G120P-FEXTFSA,"G120P PM Lüfter IP20/IP55, extern, FSA"
G120P-FEXTFSB,"G120P PM Lüfter IP20/IP55, extern, FSB"
G120P-FEXTFSC,"G120P PM Lüfter IP20/IP55, extern, FSC"
G120P-FEXTFSF-IP20,"G120P PM Lüfter IP20, external, FSF"
G120P-FEXTFSF-IP55,"G120P PM Lüfter IP55, extern, FSF"
G120P-IOP-2-BT,G120P Intelligentes Bedienfeld IOP-2-BT
G120P-IP55-PAN-EXT,Erweiterungskabel für die Bedienung
G120P-MSETFSA-IP55,"G120P Montage-Set,PM230, IP55,FSA"
G120P-MSETFSB-IP55,"G120P Montage-Set,PM230, IP55,FSB"
G120P-MSETFSC-IP55,"G120P Montage-Set,PM230, IP55,FSC"
G120P-MSETFSD-IP55,"G120P Montage-Set,PM230, IP55,FSD"
G120P-MSETFSE-IP55,"G120P Montage-Set,PM230, IP55,FSE"
G120P-MSETFSF-IP55,"G120P Montage-Set,PM230, IP55,FSF"
G120P-PC-KIT,G120P PC-Umrichter Verbindungssatz-2
G120P-REV100A_H410,G120P Revisionsschalter_100A_FSE
G120P-REV20A_H216,G120P Revisionsschalter_20A_FSA-FSB
G120P-REV32A_H226,G120P Revisionsschalter_32A_FSC
G120P-REV40A_H233,G120P Revisionsschalter_38A_FSC/FSD
G120P-REV63A_B263,G120P Revisionsschalter_63A_FSD
G120P-REV80A_H408,G120P Revisionsschalter_80A_FSE
G120P-SAM,G120P-SAM Webserver-
G120P-STARTER,STARTER Software
GAP191.1E,"Luftklappen-Drehantrieb, 6Nm, AC/DC24V"
GAP196.1E,"Luftklappen-Drehantrieb, 6Nm, AC/DC24V"
GCA121.1E,"Luftklappen-Drehantrieb, 18Nm, AC24V"
GCA126.1E,"Luftklappen-Drehantrieb, 18Nm, AC24V"
GCA135.1E,"Luftklappen-Drehantrieb, 18Nm, AC24V"
GCA161.1E,"Luftklappen-Drehantrieb, 18Nm, AC24V"
GCA161.1E/MO,Luftklappen-Drehantrieb 18Nm Modbus
GCA166.1E,"Luftklappen-Drehantrieb, 18Nm, AC24V"
GCA321.1E,"Luftklappen-Drehantrieb, 18Nm, AC230V"
GCA326.1E,"Luftklappen-Drehantrieb, 18Nm, AC230V"
GCS9D,DCC Guarto CS9 INTEG
GDB111.1E/KN,S55499-D190 /GDB111.1E/KN Stellantrieb
GDB111.1E/MO,"Drehantrieb, 5Nm, AC24V, Modbus"
GDB111.9E/KN,"Kugelhahn-Drehantrieb,5Nm,AC24V,KNX"
GDB141.1E,"Luftklappen-Drehantrieb, 5Nm, AC24V"
GDB141.9E,"Kugelhahn-Drehantrieb,5Nm,ACDC24V,2/3Pkt"
GDB146.1E,"Luftklappen-Drehantrieb, 5Nm, AC24V"
GDB161.1E,"Luftklappen-Drehantrieb, 5Nm, AC24V  C"
GDB166.1E,"Luftklappen-Drehantrieb, 5Nm, AC24V  C"
GDB181.1E/3,"VAV-Kompaktregler, 24 V, 5 Nm,0-10V,3Pkt"
GDB181.1E/BA,"VAV-Kompaktregler BACnet, 5Nm, AC24V"
GDB181.1E/KN,"VAV-Kompaktregler KNX, 5Nm, AC24V"
GDB181.1E/KN,"VAV-Kompaktregler KNX, 5Nm, AC24V"
GDB181.1E/MO,"VAV-Kompaktregler Modbus, 5Nm, AC24V"
GDB336.9E,"Kugelhahn-Drehantr.,5Nm,AC230V,3Pkt,2HS"
GDB341.1E,"Luftklappen-Drehantrieb, 5Nm, AC230V"
GDB341.9E,"Kugelhahn-Drehantrieb,5Nm,AC230V,2/3Pkt"
GDB346.1E,"Luftklappen-Drehantrieb, 5Nm, AC230V"
GDB361.1E,"Luftklappen-Drehantrieb,5Nm,AC230V 0-10V"
GEB141.1E,S55499-D329 /GEB141.1E Stellantrieb
GEB142.1E,S55499-D330 /GEB142.1E Stellantrieb
GEB146.1E,S55499-D331 /GEB146.1E Stellantrieb
GEB161.1E,S55499-D332 /GEB161.1E Stellantrieb
GEB161.1E,"Luftklappen-Drehantrieb, 15Nm, AC24V"
GEB161.1E/MO,"Luftklappen-Drehantrieb 15Nm, Modbus"
GEB166.1E,S55499-D335 /GEB166.1E Stellantrieb
GEB166.1E,"Luftklappen-Drehantrieb, 15Nm, AC24V"
GEB331.1E,"Luftklappen-Drehantrieb, 15Nm, AC230V"
GEB332.1E,"Luftklappen-Drehantrieb, 15Nm, AC230V"
GEB341.1E,S55499-D336 /GEB341.1E Stellantrieb
GEB346.1E,S55499-D337 /GEB346.1E Stellantrieb
GEB361.1E,S55499-D338 /GEB361.1E Stellantrieb
GGA126.1E/T10,"Stellantrieb-BSK, 18Nm, AC/DC24V"
GGA126.1E/T12,"Stellantrieb-BSK, 18Nm, AC/DC24V"
GGA326.1E/T10,"Stellantrieb-BSK, 18Nm, AC230V"
GGA326.1E/T12,"Stellantrieb-BSK, 18Nm, AC230V"
GIB131.1E,"Luftklappen-Drehantrieb, 35Nm, AC24V"
GIB135.1E,"Luftklappen-Drehantrieb, 35Nm, AC24V"
GIB161.1E,"Luftklappen-Drehantrieb, 35Nm, AC24V"
GIB161.1E/MO,"Luftklappen-Drehantrieb 35Nm, Modbus"
GIB166.1E,"Luftklappen-Drehantrieb, 35Nm, AC24V"
GIB331.1E,"Luftklappen-Drehantrieb, 35Nm, AC230V"
GIB335.1E,"Luftklappen-Drehantrieb, 35Nm, AC230V"
GLB111.1E/MO,"Drehantrieb,10Nm, AC24V, Modbus"
GLB111.9E/KN,"Kugelhahn-Drehantrieb,10Nm,AC24V,KNX"
GLB111.9E/MO,"Kugelhahn-Antrieb,10Nm,AC24V,Modbus RTU"
GLB131.2E,"Luftklappen-Linearantrieb, 250N, AC24V"
GLB141.1E,"Luftklappen-Drehantrieb, 10Nm, AC/DC24V"
GLB141.9E,"Kugelhahn-Drehantr.,10Nm,ACDC24V,2P/3P"
GLB146.1E,"Luftklappen-Drehantrieb, 10Nm, AC/DC24V"
GLB161.1E,"Luftklappen-Drehantrieb, 10Nm, AC/DC24V"
GLB161.2E,"Luftklappen-Linearantrieb, 250N, AC24V"
GLB161.9E,"Kugelhahn-Drehantrieb, 10Nm, AC24V,0-10V"
GLB166.1E,GLB166.1E Stellantrieb
GLB181.1E/3,"VAV Kompaktregler, 10Nm, AC24V"
GLB181.1E/BA,"VAV-Kompaktregler BACnet, 10Nm, AC24V"
GLB181.1E/KN,"VAV-Kompaktregler KNX, 10Nm, AC24V"
GLB181.1E/KN,"VAV-Kompaktregler KNX, 10Nm, AC24V"
GLB181.1E/MO,"VAV-Kompaktregler Modbus, 10Nm, AC24V"
GLB331.2E,"Luftklappen-Linearantrieb, 250N, AC230V"
GLB336.9E,"Kugelhahn-Drehantr.,10Nm,AC230V,3Pkt,2HS"
GLB341.1E,"Luftklappen-Drehantrieb, 10Nm, AC230V"
GLB341.9E,"Kugelhahn-Drehantr.,10Nm,AC230V,2/3Pkt"
GLB346.1E,"Luftklappen-Drehantrieb, 10Nm, AC230V"
GLB361.1E,"Luftklappen-Drehantrieb,10Nm,AC230V 0-10V"
GLD161.9E,"Kugelhahn-Drehantr.,8Nm,ACDC24V,2/0-10V"
GMA121.1E,"Luftklappen-Drehantrieb, 7Nm, AC/DC24V"
GMA121.9E,"Kugelhahn-Drehantrieb, 7Nm, ACDC24V,2Pkt"
GMA126.1E,"Luftklappen-Drehantrieb, 7Nm, AC/DC24V"
GMA126.9E/CH,"Kugelhahn-Drehantr.,7Nm,ACDC24V,2Pkt,2HS"
GMA131.1E,"Luftklappen-Drehantrieb, 7Nm, AC/DC24V"
GMA131.9E,"Kugelhahn-Drehantrieb, 7Nm, ACDC24V,3Pkt"
GMA136.1E,"Luftklappen-Drehantrieb, 7Nm, AC/DC24V"
GMA136.9E/CH,"Kugelhahn-Drehantr.,7Nm,ACDC24V,3Pkt,2HS"
GMA161.1E,"Luftklappen-Drehantrieb, 7Nm, AC/DC24V"
GMA161.1E/MO,"Luftklappen-Drehantrieb, 7Nm, Modbus"
GMA161.9E,"Kugelhahn-Drehantrieb, 7Nm, AC24V,0-10V"
GMA166.1E,"Luftklappen-Drehantrieb, 7Nm, AC/DC24V"
GMA321.1E,"Luftklappen-Drehantrieb, 7Nm, AC230V"
GMA321.9E,"Kugelhahn-Drehantrieb, 7Nm, AC230V,2Pkt"
GMA326.1E,"Luftklappen-Drehantrieb, 7Nm, AC230V"
GMA326.9E/CH,"Kugelhahn-Drehantr.,7Nm,AC230V,2Pkt,2HS"
GNA126.1E/C10,"Stellantrieb-BSK, 7Nm, AC/DC24V"
GNA126.1E/T10,"Stellantrieb-BSK, 7Nm, AC/DC24V"
GNA126.1E/T12,"Stellantrieb-BSK, 7Nm, AC/DC24V"
GNA326.1E/T10,"Stellantrieb-BSK, 7Nm, AC230V"
GNA326.1E/T12,"Stellantrieb-BSK, 7Nm, AC230V"
GNP191.1E,"Luftklappen-Drehantrieb, 6Nm, ACDC24V"
GNP196.1E,"Luftklappen-Drehantrieb, 6Nm, ACDC24V,"
GPC121.1A,GPC121.1A Stellantrieb m. Federrücklauf
GPC126.1A,GPC126.1A Stellantrieb mit Federrücklauf
GPC131.1A,GPC131.1A Stellantrieb mit Federrücklauf
GPC136.1A,GPC136.1A Stellantrieb
GPC161.1A,GPC161.1A Stellantrieb
GPC166.1A,GPC166.1A Stellantrieb
GPC321.1A,GPC321.1A Stellantrieb mit Fderrücklauf
GPC326.1A,GPC326.1A Stellantrieb mit Federrücklauf
GPC361.1A,GPC361.1A Stellantrieb mit Federrücklauf
GQD121.1A,"Luftklappen-Drehantrieb, 2Nm, 2Pkt"
GQD121.9A,"Kugelhahn-Drehantrieb,2Nm, AC/DC24V,2Pkt"
GQD131.1A,"Luftklappen-Drehantrieb, AC/DC 24 V, 2 N"
GQD131.9A,"Kugelhahn-Drehantrieb, 2Nm, ACDC24V,3Pkt"
GQD161.1A,"Luftklappen-Drehantrieb, AC/DC 24V, 2Nm"
GQD161.9A,"Kugelhahn-Drehantrieb, 2Nm,ACDC24V,0-10V"
GQD321.9A,"Kugelhahn-Drehantrieb,2Nm, AC230V, 2Pkt"
GRA126.1E/10,"Stellantrieb-BSK, 4Nm, AC/DC24V, 10 mm"
GRA126.1E/12,"Stellantrieb-BSK, 4Nm, AC/DC24V, 12 mm"
GRA126.1E/T12,"Stellantrieb-BSK, 4Nm, AC/DC24V, 12 mm"
GRA326.1E/10,"Stellantrieb-BSK, 4Nm, AC 230V, 10 mm"
GRA326.1E/12,"Stellantrieb-BSK, 4Nm, AC 230V, 12 mm"
GRA326.1E/T12,"Stellantrieb-BSK, 4Nm, AC230V, 12 mm"
GSD121.1A,"Luftklappen-Dreha. o. Federrücklauf, 24V"
GSD141.1A,"Luftklappen-Dreha. 24VAC/DC, 2Nm, 2 Pkt"
GSD141.9A,"Kugelhahn-Drehantrieb,2Nm, AC/DC24V,2Pkt"
GSD146.1A,"Luftklappen-Dreha. 24VAC/DC, 2Nm, 2 Pkt"
GSD161.1A,"Luftklappen-Dreha.24VAC/DC, 0-10V, 2Nm"
GSD161.9A,"Kugelhahn-Antrieb,2Nm,ACDC24V,2/0-10V"
GSD166.1A,"Luftklappen-Drehantriebe, AC/DC 24V, 2Nm"
GSD341.1A,"Luftklappen-Drehantriebe, AC 240 V, 2 Nm"
GSD341.9A,"Kugelhahn-Drehantrieb,2Nm, AC230V, 2Pkt"
GSD346.1A,"Luftklappen-Drehantrieb, 2Nm, AC230V"
GSD361.1A,"Luftklappen-Drehantrieb 230VAC, 0-10V,"
HLM10.1,Bedien- und Anzeigegerät
HLV20.1,Seilzug-Wegsensor 2000 mm
HLV40.1,Schnelllaufender Luftklappen Antrieb
HMRIK001-001,Wandhalterung für WFM5../WFN5..
HP THIN CLIENTT520,HP THIN CLIENT T520 MIT WI
HTS 180 PLLON,LON Präsenzmelder Wandmontage (AP/EB)
HTS 180A-KNX WH,KNX Präsenzmelder HTS 180A-KNX WH
HTS 360 PLLON,LON Präsenzmelder Deckenmontage (AP/EB)
HTS 360A-KNX WH,KNX Präsenzmelder HTS 360A-KNX WH
HTS AP-RAHMEN PL,AP-Montage-Rahmen für PresenceLight 360
HTS EWH-A KNX,KNX Präsenzmelder HTS EWH-A KNX
HTS PASSAGE KNX,KNX Präsenzmelder HTS Compact Passage
HTS PCLON AP,LON Präsenzmelder Deckeneinbau (Hohld.)
HTS PCLON EB,LON Präsenzmelder UP-Montage (Betond.)
HTS PLANOSET RQ,"AP-Einbauset PlanoSet quadratisch, weiss"
HTS PLANOSET RR,"AP-Einbauset PlanoSet rund, weiss"
HUBICELERT407,ICELERT STEUERUNG 407
HUBSONDEICELERT,3-fach Sonde
HY-WA-BODEN 12-24,Wasser Detektor 24V AC\DC
IKS67262GTXSFP,Modular managed Switch mit 24+2Gb
IL10-PC,"Touchpanel iluna10, Win10 IoT"
IL16-PC,"Touchpanel iluna16, Win10 IoT"
IM-6700-8SFP,Modul 8 SFP Port 100 für IKS 6727
IM-6700-8TX,Modul 8 Port 10/100TX für IKS 6726
INJ-24,"DIN PoE Injector, 24 /48VDC"
INT51152N142,"Luftstromwächter, 230V, 0,2..8m/s"
IRA211,"Infrarot-Fernbedienung für RDF…T, RDG1…T"
JXF:FKM0005,"2“-EAT Sockelgehäuse, 110 mm, G3/4"""
JXF:FKM0008,"2“-EAT Sockelgehäuse, 80 mm, G3/4''"
JXF:FKM0053,"Verschlussplatte zu EAT, 2"""
JXF:FKS0007,"Profildichtung für EAT, 2"""
JXF:WFK30.E130,"Mech Kaltwasserzähler 4m3/h,130 mm,1"""
JXF:WFZ.B6-1,Blendensatz Unterputz
JXF:WFZ.IRDA-USB,Infrarot-Lesekopf mit USB-Schnittstelle
JXF:WFZ.IRDA-USB,Infrarot-Lesekopf mit USB-Schnittstelle
JXF:WFZ.MBM-USB,Programmierkabel für M-Bus
JXF:WFZ.MBM-USB,Programmierkabel für M-Bus
JXF:WFZ.MBUSSET,M-Bus Anschlussset
JXF:WFZ.R110,"Zählerersatzstück 3/4'', 110 mm"
